GEOID10,CBSA,METRO_NAME,HRS2010,INTERVAL2010
18141001200,43780,"South Bend-Mishawaka, IN-MI",1.00,1
47093007100,28940,"Knoxville, TN",1.00,1
36001013706,10580,"Albany-Schenectady-Troy, NY",1.00,1
37067002501,49180,"Winston-Salem, NC",1.00,1
48201411900,26420,Houston-The Woodlands-Sugar La,1.00,1
06001404600,41860,"San Francisco-Oakland-Hayward,",1.00,1
06037700600,31100,"Los Angeles-Long Beach, CA",1.00,1
51760050600,40060,"Richmond, VA",1.00,1
42003473500,38300,"Pittsburgh, PA",1.00,1
12086003906,33100,Miami-Fort Lauderdale-West Pal,1.00,1
12086003922,33100,Miami-Fort Lauderdale-West Pal,1.00,1
39035183501,17460,"Cleveland-Elyria, OH",1.00,1
48201410900,26420,Houston-The Woodlands-Sugar La,1.00,1
42079201100,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
42091204400,37980,Philadelphia-Camden-Wilmington,1.00,1
22017022800,43340,"Shreveport-Bossier City, LA",1.00,1
36081073900,35620,"New York-Newark-Jersey City, N",1.00,1
48113007101,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
06037124000,31100,"Los Angeles-Long Beach, CA",1.00,1
39153506200,10420,"Akron, OH",1.00,1
36081075702,35620,"New York-Newark-Jersey City, N",1.00,1
55025010200,31540,"Madison, WI",1.00,1
36119002107,35620,"New York-Newark-Jersey City, N",1.00,1
48113019501,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
42079200500,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
48439104300,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
31055006701,36540,"Omaha-Council Bluffs, NE-IA",1.00,1
42079200200,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
12086004106,33100,Miami-Fort Lauderdale-West Pal,1.00,1
12086004105,33100,Miami-Fort Lauderdale-West Pal,1.00,1
06037430600,31100,"Los Angeles-Long Beach, CA",1.00,1
24510270902,12580,"Baltimore-Columbia-Towson, MD",1.00,1
48113020600,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
42079213000,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
42079201400,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
06037571200,31100,"Los Angeles-Long Beach, CA",1.00,1
21111009600,31140,"Louisville/Jefferson County, K",1.00,1
20173002100,48620,"Wichita, KS",1.00,1
26163550900,19820,"Detroit-Warren-Dearborn, MI",1.00,1
09003497400,25540,Hartford-West Hartford-East Ha,1.00,1
36061010200,35620,"New York-Newark-Jersey City, N",1.00,1
22017022700,43340,"Shreveport-Bossier City, LA",1.00,1
39153507101,10420,"Akron, OH",1.00,1
06037651302,31100,"Los Angeles-Long Beach, CA",1.00,1
13089020100,12060,"Atlanta-Sandy Springs-Roswell,",1.00,1
48029180400,41700,"San Antonio-New Braunfels, TX",1.00,1
42045406100,37980,Philadelphia-Camden-Wilmington,1.00,1
42079212100,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
09003416400,25540,Hartford-West Hartford-East Ha,1.00,1
09003417400,25540,Hartford-West Hartford-East Ha,1.00,1
22071013301,35380,"New Orleans-Metairie, LA",1.00,1
42079200300,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
48201312900,26420,Houston-The Woodlands-Sugar La,1.00,1
